id,Date,Max Temperature,Min Temperature,lon,lat
208,1979-7-27,38.107,26.355,32.077942,15.2491215
209,1979-7-28,37.903,25.507,32.077942,15.2491215
210,1979-7-29,31.81,24.083,32.077942,15.2491215
211,1979-7-30,36.118,23.004,32.077942,15.2491215
212,1979-7-31,35.469,25.704,32.077942,15.2491215
213,1979-8-1,38.548,26.233,32.077942,15.2491215
214,1979-8-2,37.537,25.71,32.077942,15.2491215
215,1979-8-3,36.071,26.971,32.077942,15.2491215
216,1979-8-4,33.795,24.597,32.077942,15.2491215
217,1979-8-5,39.087,24.026,32.077942,15.2491215
218,1979-8-6,37.636,26.965,32.077942,15.2491215
219,1979-8-7,37.014,26.315,32.077942,15.2491215
220,1979-8-8,37.031,26.441,32.077942,15.2491215
221,1979-8-9,37.295,26.951,32.077942,15.2491215
222,1979-8-10,34.263,26.671,32.077942,15.2491215
223,1979-8-11,33.397,25.031,32.077942,15.2491215
224,1979-8-12,34.905,25.641,32.077942,15.2491215
225,1979-8-13,29.8,24.242,32.077942,15.2491215
226,1979-8-14,31.46,23.274,32.077942,15.2491215
227,1979-8-15,26.45,23.494,32.077942,15.2491215
228,1979-8-16,30.133,22.334,32.077942,15.2491215
229,1979-8-17,30.471,23.78,32.077942,15.2491215
230,1979-8-18,29.075,23.551,32.077942,15.2491215
231,1979-8-19,31.924,22.83,32.077942,15.2491215
232,1979-8-20,27.057,21.783,32.077942,15.2491215
233,1979-8-21,36.307,21.512,32.077942,15.2491215
234,1979-8-22,34.736,25.285,32.077942,15.2491215
235,1979-8-23,27.175,24.02,32.077942,15.2491215
236,1979-8-24,33.319,23.423,32.077942,15.2491215
237,1979-8-25,36.5,23.056,32.077942,15.2491215
238,1979-8-26,37.071,22.495,32.077942,15.2491215
239,1979-8-27,35.408,23.941,32.077942,15.2491215
240,1979-8-28,35.436,24.472,32.077942,15.2491215
241,1979-8-29,36.109,23.706,32.077942,15.2491215
242,1979-8-30,39.679,24.308,32.077942,15.2491215
243,1979-8-31,37.261,26.021,32.077942,15.2491215
244,1979-9-1,40.09,25.922,32.077942,15.2491215
245,1979-9-2,43.208,25.158,32.077942,15.2491215
246,1979-9-3,43.228,27.688,32.077942,15.2491215
247,1979-9-4,39.701,26.487,32.077942,15.2491215
248,1979-9-5,35.556,24.618,32.077942,15.2491215
249,1979-9-6,28.866,23.932,32.077942,15.2491215
250,1979-9-7,36.666,23.255,32.077942,15.2491215
251,1979-9-8,41.677,25.079,32.077942,15.2491215
252,1979-9-9,41.255,26.639,32.077942,15.2491215
253,1979-9-10,36.311,27.294,32.077942,15.2491215
254,1979-9-11,28.809,25.016,32.077942,15.2491215
255,1979-9-12,35.922,22.442,32.077942,15.2491215
256,1979-9-13,37.885,24.316,32.077942,15.2491215
257,1979-9-14,40.349,25.149,32.077942,15.2491215
258,1979-9-15,40.792,25.425,32.077942,15.2491215
259,1979-9-16,40.436,26.134,32.077942,15.2491215
260,1979-9-17,39.284,26.175,32.077942,15.2491215
261,1979-9-18,39.025,24.96,32.077942,15.2491215
262,1979-9-19,38.614,25.782,32.077942,15.2491215
263,1979-9-20,42.832,24.617,32.077942,15.2491215
264,1979-9-21,44.771,26.968,32.077942,15.2491215
265,1979-9-22,40.442,25.711,32.077942,15.2491215
266,1979-9-23,40.763,26.117,32.077942,15.2491215
267,1979-9-24,41.845,25.593,32.077942,15.2491215
268,1979-9-25,37.774,25.448,32.077942,15.2491215
269,1979-9-26,38.949,25.957,32.077942,15.2491215
270,1979-9-27,39.704,26.679,32.077942,15.2491215
271,1979-9-28,39.671,25.816,32.077942,15.2491215
272,1979-9-29,41.942,26.54,32.077942,15.2491215
273,1979-9-30,41.032,26.65,32.077942,15.2491215
274,1979-10-1,40.87,26.169,32.077942,15.2491215
275,1979-10-2,41.942,25.973,32.077942,15.2491215
276,1979-10-3,41.951,23.9,32.077942,15.2491215
277,1979-10-4,41.183,23.792,32.077942,15.2491215
278,1979-10-5,42.43,24.527,32.077942,15.2491215
279,1979-10-6,40.303,23.554,32.077942,15.2491215
280,1979-10-7,40.952,25.462,32.077942,15.2491215
281,1979-10-8,42.964,24.274,32.077942,15.2491215
282,1979-10-9,39.408,23.831,32.077942,15.2491215
283,1979-10-10,37.883,28.044,32.077942,15.2491215
