id,Date,Precipitation,lon,lat
365,12/31/1979,0,32.077942,15.2491215
366,1/1/1980,0,32.077942,15.2491215
367,1/2/1980,0,32.077942,15.2491215
368,1/3/1980,0,32.077942,15.2491215
369,1/4/1980,0,32.077942,15.2491215
370,1/5/1980,0,32.077942,15.2491215
371,1/6/1980,0,32.077942,15.2491215
372,1/7/1980,0,32.077942,15.2491215
373,1/8/1980,0,32.077942,15.2491215
374,1/9/1980,0,32.077942,15.2491215
375,1/10/1980,0,32.077942,15.2491215
376,1/11/1980,0,32.077942,15.2491215
377,1/12/1980,0,32.077942,15.2491215
378,1/13/1980,0,32.077942,15.2491215
379,1/14/1980,0.058364899,32.077942,15.2491215
380,1/15/1980,0,32.077942,15.2491215
381,1/16/1980,0,32.077942,15.2491215
382,1/17/1980,0,32.077942,15.2491215
383,1/18/1980,0,32.077942,15.2491215
384,1/19/1980,0,32.077942,15.2491215
385,1/20/1980,0,32.077942,15.2491215
386,1/21/1980,0,32.077942,15.2491215
387,1/22/1980,0,32.077942,15.2491215
388,1/23/1980,0,32.077942,15.2491215
389,1/24/1980,0,32.077942,15.2491215
390,1/25/1980,0,32.077942,15.2491215
391,1/26/1980,0,32.077942,15.2491215
392,1/27/1980,0,32.077942,15.2491215
393,1/28/1980,0,32.077942,15.2491215
394,1/29/1980,0,32.077942,15.2491215
395,1/30/1980,0,32.077942,15.2491215
396,1/31/1980,0,32.077942,15.2491215
397,2/1/1980,0,32.077942,15.2491215
398,2/2/1980,0,32.077942,15.2491215
399,2/3/1980,0,32.077942,15.2491215
400,2/4/1980,0,32.077942,15.2491215
401,2/5/1980,0,32.077942,15.2491215
402,2/6/1980,0,32.077942,15.2491215
403,2/7/1980,0,32.077942,15.2491215
404,2/8/1980,0,32.077942,15.2491215
405,2/9/1980,0,32.077942,15.2491215
406,2/10/1980,0,32.077942,15.2491215
407,2/11/1980,0,32.077942,15.2491215
408,2/12/1980,0,32.077942,15.2491215
409,2/13/1980,0,32.077942,15.2491215
410,2/14/1980,0,32.077942,15.2491215
411,2/15/1980,0,32.077942,15.2491215
412,2/16/1980,0,32.077942,15.2491215
413,2/17/1980,0,32.077942,15.2491215
414,2/18/1980,0,32.077942,15.2491215
415,2/19/1980,0,32.077942,15.2491215
416,2/20/1980,0,32.077942,15.2491215
417,2/21/1980,0,32.077942,15.2491215
418,2/22/1980,0,32.077942,15.2491215
419,2/23/1980,0,32.077942,15.2491215
420,2/24/1980,0,32.077942,15.2491215
421,2/25/1980,0,32.077942,15.2491215
422,2/26/1980,0,32.077942,15.2491215
423,2/27/1980,0,32.077942,15.2491215
424,2/28/1980,0,32.077942,15.2491215
425,2/29/1980,0,32.077942,15.2491215
426,3/1/1980,0,32.077942,15.2491215
427,3/2/1980,0,32.077942,15.2491215
428,3/3/1980,0,32.077942,15.2491215
429,3/4/1980,0,32.077942,15.2491215
430,3/5/1980,0,32.077942,15.2491215
431,3/6/1980,0,32.077942,15.2491215
432,3/7/1980,0,32.077942,15.2491215
433,3/8/1980,0,32.077942,15.2491215
434,3/9/1980,0,32.077942,15.2491215
435,3/10/1980,0,32.077942,15.2491215
436,3/11/1980,0,32.077942,15.2491215
437,3/12/1980,0,32.077942,15.2491215
438,3/13/1980,0,32.077942,15.2491215
439,3/14/1980,0,32.077942,15.2491215
440,3/15/1980,0,32.077942,15.2491215
441,3/16/1980,0,32.077942,15.2491215
442,3/17/1980,0,32.077942,15.2491215
