id,Date,Max Temperature,Min Temperature,lon,lat,,
221,303004800,37.295,26.951,32.077942,15.2491215,2.61774E+13,
222,303091200,34.263,26.671,32.077942,15.2491215,2.61849E+13,
223,303177600,33.397,25.031,32.077942,15.2491215,2.61923E+13,
224,303264000,34.905,25.641,32.077942,15.2491215,2.61998E+13,
225,303350400,29.8,24.242,32.077942,15.2491215,2.62073E+13,
226,303436800,31.46,23.274,32.077942,15.2491215,2.62147E+13,
227,303523200,26.45,23.494,32.077942,15.2491215,2.62222E+13,
228,303609600,30.133,22.334,32.077942,15.2491215,2.62297E+13,
229,303696000,30.471,23.78,32.077942,15.2491215,2.62371E+13,
230,303782400,29.075,23.551,32.077942,15.2491215,2.62446E+13,
231,303868800,31.924,22.83,32.077942,15.2491215,2.62521E+13,
232,303955200,27.057,21.783,32.077942,15.2491215,2.62595E+13,
233,304041600,36.307,21.512,32.077942,15.2491215,2.6267E+13,
234,304128000,34.736,25.285,32.077942,15.2491215,2.62745E+13,
235,304214400,27.175,24.02,32.077942,15.2491215,2.62819E+13,
236,304300800,33.319,23.423,32.077942,15.2491215,2.62894E+13,
237,304387200,36.5,23.056,32.077942,15.2491215,2.62968E+13,
238,304473600,37.071,22.495,32.077942,15.2491215,2.63043E+13,
239,304560000,35.408,23.941,32.077942,15.2491215,2.63118E+13,
240,304646400,35.436,24.472,32.077942,15.2491215,2.63192E+13,
241,304732800,36.109,23.706,32.077942,15.2491215,2.63267E+13,
242,304819200,39.679,24.308,32.077942,15.2491215,2.63342E+13,
243,304905600,37.261,26.021,32.077942,15.2491215,2.63416E+13,
244,304992000,40.09,25.922,32.077942,15.2491215,2.63491E+13,
245,305078400,43.208,25.158,32.077942,15.2491215,2.63566E+13,
246,305164800,43.228,27.688,32.077942,15.2491215,2.6364E+13,
247,305251200,39.701,26.487,32.077942,15.2491215,2.63715E+13,
248,305337600,35.556,24.618,32.077942,15.2491215,2.6379E+13,
249,305424000,28.866,23.932,32.077942,15.2491215,2.63864E+13,
250,305510400,36.666,23.255,32.077942,15.2491215,2.63939E+13,
251,305596800,41.677,25.079,32.077942,15.2491215,2.64014E+13,
252,305683200,41.255,26.639,32.077942,15.2491215,2.64088E+13,
253,305769600,36.311,27.294,32.077942,15.2491215,2.64163E+13,
254,305856000,28.809,25.016,32.077942,15.2491215,2.64237E+13,
255,305942400,35.922,22.442,32.077942,15.2491215,2.64312E+13,
256,306028800,37.885,24.316,32.077942,15.2491215,2.64387E+13,
257,306115200,40.349,25.149,32.077942,15.2491215,2.64461E+13,
258,306201600,40.792,25.425,32.077942,15.2491215,2.64536E+13,
259,306288000,40.436,26.134,32.077942,15.2491215,2.64611E+13,
260,306374400,39.284,26.175,32.077942,15.2491215,2.64685E+13,
261,306460800,39.025,24.96,32.077942,15.2491215,2.6476E+13,
262,306547200,38.614,25.782,32.077942,15.2491215,2.64835E+13,
263,306633600,42.832,24.617,32.077942,15.2491215,2.64909E+13,
